"Date/Time", "Heart Rate (bpm)"
"May 25, 2026 at 18:01:43", 99
"May 25, 2026 at 18:01:44", 99
"May 25, 2026 at 18:01:45", 99
"May 25, 2026 at 18:01:46", 98
"May 25, 2026 at 18:01:47", 98
"May 25, 2026 at 18:01:47", 99
"May 25, 2026 at 18:01:49", 99
"May 25, 2026 at 18:01:50", 99
"May 25, 2026 at 18:01:51", 98
"May 25, 2026 at 18:01:52", 96
"May 25, 2026 at 18:01:53", 96
"May 25, 2026 at 18:01:53", 94
"May 25, 2026 at 18:01:55", 94
"May 25, 2026 at 18:01:56", 95
"May 25, 2026 at 18:01:57", 94
"May 25, 2026 at 18:01:58", 94
"May 25, 2026 at 18:01:59", 94
"May 25, 2026 at 18:01:59", 95
"May 25, 2026 at 18:02:01", 97
"May 25, 2026 at 18:02:02", 98
"May 25, 2026 at 18:02:03", 98
"May 25, 2026 at 18:02:04", 99
"May 25, 2026 at 18:02:05", 100
"May 25, 2026 at 18:02:05", 100
"May 25, 2026 at 18:02:07", 101
"May 25, 2026 at 18:02:08", 100
"May 25, 2026 at 18:02:09", 100
"May 25, 2026 at 18:02:10", 100
"May 25, 2026 at 18:02:11", 99
"May 25, 2026 at 18:02:12", 98
"May 25, 2026 at 18:02:13", 98
"May 25, 2026 at 18:02:14", 97
"May 25, 2026 at 18:02:15", 95
"May 25, 2026 at 18:02:16", 94
"May 25, 2026 at 18:02:17", 93
"May 25, 2026 at 18:02:18", 93
"May 25, 2026 at 18:02:19", 93
"May 25, 2026 at 18:02:20", 94
"May 25, 2026 at 18:02:21", 94
"May 25, 2026 at 18:02:22", 95
"May 25, 2026 at 18:02:23", 95
"May 25, 2026 at 18:02:24", 97
"May 25, 2026 at 18:02:25", 97
"May 25, 2026 at 18:02:26", 97
"May 25, 2026 at 18:02:27", 97
"May 25, 2026 at 18:02:28", 97
"May 25, 2026 at 18:02:29", 96
"May 25, 2026 at 18:02:30", 97
"May 25, 2026 at 18:02:31", 97
"May 25, 2026 at 18:02:32", 97
"May 25, 2026 at 18:02:33", 96
"May 25, 2026 at 18:02:34", 94
"May 25, 2026 at 18:02:35", 94
"May 25, 2026 at 18:02:36", 94
"May 25, 2026 at 18:02:37", 92
"May 25, 2026 at 18:02:38", 92
"May 25, 2026 at 18:02:39", 93
"May 25, 2026 at 18:02:40", 95
"May 25, 2026 at 18:02:41", 95
"May 25, 2026 at 18:02:42", 94
"May 25, 2026 at 18:02:43", 94
"May 25, 2026 at 18:02:44", 94
"May 25, 2026 at 18:02:45", 93
"May 25, 2026 at 18:02:46", 93
"May 25, 2026 at 18:02:47", 93
"May 25, 2026 at 18:02:48", 93
"May 25, 2026 at 18:02:49", 93
"May 25, 2026 at 18:02:50", 93
"May 25, 2026 at 18:02:51", 94
"May 25, 2026 at 18:02:52", 94
"May 25, 2026 at 18:02:53", 94
"May 25, 2026 at 18:02:54", 94
"May 25, 2026 at 18:02:55", 92
"May 25, 2026 at 18:02:56", 92
"May 25, 2026 at 18:02:57", 92
"May 25, 2026 at 18:02:58", 90
"May 25, 2026 at 18:02:59", 90
"May 25, 2026 at 18:03:00", 89
"May 25, 2026 at 18:03:01", 89
"May 25, 2026 at 18:03:02", 89
"May 25, 2026 at 18:03:03", 90
"May 25, 2026 at 18:03:04", 91
"May 25, 2026 at 18:03:05", 91
"May 25, 2026 at 18:03:06", 92
"May 25, 2026 at 18:03:07", 90
"May 25, 2026 at 18:03:08", 90
"May 25, 2026 at 18:03:09", 92
"May 25, 2026 at 18:03:10", 92
"May 25, 2026 at 18:03:11", 92
"May 25, 2026 at 18:03:12", 93
"May 25, 2026 at 18:03:13", 94
"May 25, 2026 at 18:03:14", 94
"May 25, 2026 at 18:03:15", 94
"May 25, 2026 at 18:03:16", 93
"May 25, 2026 at 18:03:17", 92
"May 25, 2026 at 18:03:18", 92
"May 25, 2026 at 18:03:19", 92
"May 25, 2026 at 18:03:20", 92
"May 25, 2026 at 18:03:21", 92
"May 25, 2026 at 18:03:22", 93
"May 25, 2026 at 18:03:23", 94
"May 25, 2026 at 18:03:24", 94
"May 25, 2026 at 18:03:25", 94
"May 25, 2026 at 18:03:26", 94
"May 25, 2026 at 18:03:27", 95
"May 25, 2026 at 18:03:28", 95
"May 25, 2026 at 18:03:29", 95
"May 25, 2026 at 18:03:30", 95
"May 25, 2026 at 18:03:31", 96
"May 25, 2026 at 18:03:32", 96
"May 25, 2026 at 18:03:33", 96
"May 25, 2026 at 18:03:34", 96
"May 25, 2026 at 18:03:35", 97
"May 25, 2026 at 18:03:36", 97
"May 25, 2026 at 18:03:37", 97
"May 25, 2026 at 18:03:38", 97
"May 25, 2026 at 18:03:39", 97
"May 25, 2026 at 18:03:40", 97
"May 25, 2026 at 18:03:41", 98
"May 25, 2026 at 18:03:42", 98
"May 25, 2026 at 18:03:43", 98
"May 25, 2026 at 18:03:44", 98
"May 25, 2026 at 18:03:45", 98
"May 25, 2026 at 18:03:46", 99
"May 25, 2026 at 18:03:47", 100
"May 25, 2026 at 18:03:48", 100
"May 25, 2026 at 18:03:49", 100
"May 25, 2026 at 18:03:50", 99
"May 25, 2026 at 18:03:51", 98
"May 25, 2026 at 18:03:52", 98
"May 25, 2026 at 18:03:53", 96
"May 25, 2026 at 18:03:54", 96
"May 25, 2026 at 18:03:55", 96
"May 25, 2026 at 18:03:56", 96
"May 25, 2026 at 18:03:57", 96
"May 25, 2026 at 18:03:58", 98
"May 25, 2026 at 18:03:59", 98
"May 25, 2026 at 18:04:00", 100
"May 25, 2026 at 18:04:01", 102
"May 25, 2026 at 18:04:02", 103
"May 25, 2026 at 18:04:03", 104
"May 25, 2026 at 18:04:04", 104
"May 25, 2026 at 18:04:05", 103
"May 25, 2026 at 18:04:06", 103
"May 25, 2026 at 18:04:07", 101
